AÑO	 CIIU	Descripción	Personas trabajadoras con cobertura (promedio)	Total de casos notificados	Casos con días de baja y secuelas incapacitantes	Personas trabajadoras fallecidas	Índice de incidencia [1]	Índice de incidencia de casos mortales [2]
2020	880	Servicios sociales sin alojamiento	2.825	60	58	0	20,5	0
2020	900	Servicios artísticos y de espectáculos	8.086	185	177	0	21,9	0
2020	910	Servicios de bibliotecas, archivos y museos y servicios culturales n.c.p.	11.511	252	235	1	20,4	86,9
2020	920	Servicios relacionados con juegos de azar y apuestas	29.700	468	453	0	15,3	0
2020	931	Servicios para la práctica deportiva	34.486	1.062	1.012	1	29,3	29
2020	939	Servicios de esparcimiento n.c.p.	11.541	274	255	0	22,1	0
2020	941	Servicios de organizaciones empresariales, profesionales y de empleadores	28.140	554	530	0	18,8	0
2020	942	Servicios de sindicatos	20.852	359	338	1	16,2	48
2020	949	Servicios de asociaciones n.c.p.	148.633	3.931	3.642	1	24,5	6,7
2020	951	Reparación y mantenimiento de equipos informáticos y equipos de comunicación	1.934	44	43	0	22,2	0
2020	952	Reparación de efectos personales y enseres domésticos	1.335	49	48	0	36	0
2020	960	Servicios personales n.c.p.	30.553	1.242	1.145	1	37,5	32,7
2020	990	Servicios de organizaciones y órganos extraterritoriales	12.545	345	316	0	25,2	0
2020		Sin datos	1	490	324	0	-	-
2019	11	Cultivos temporales	97.622	7.411	7.106	12	72,8	122,9
2019	12	Cultivos perennes	77.069	5.549	5.318	9	69	116,8
2019	13	Producción de semillas y de otras formas de propagación de cultivos agrícolas	5.216	248	213	0	40,8	0
2019	14	Cría de animales	99.651	11.153	10.714	19	107,5	190,7
2019	16	Servicios de apoyo agrícolas y pecuarios	62.802	3.184	3.056	5	48,7	79,6
2019	17	Caza, repoblación de animales de caza y servicios de apoyo	153	13	12	0	78,5	0
2019	21	Silvicultura	2.519	227	212	1	84,1	396,9
2019	22	Extracción de productos forestales	3.781	272	256	0	67,7	0
2019	24	Servicios de apoyo a la silvicultura	2.633	276	262	1	99,5	379,8
2019	31	Pesca y servicios de apoyo	12.462	1.351	1.255	1	100,7	80,2
2019	32	Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)	16	3	2	0	122,4	0
2019	51	Extracción y aglomeración de carbón	2.268	135	131	0	57,8	0
2019	52	Extracción y aglomeración de lignito	0	0	0	0	-	-
2019	61	Extracción de petróleo crudo	35.167	1.436	1.331	1	37,8	28,4
2019	62	Extracción de gas natural	26	0	0	0	0	0
2019	71	Extracción de minerales de hierro	67	2	2	0	29,9	0
2019	72	Extracción de minerales metalíferos no ferrosos	9.181	227	196	1	21,3	108,9
