AÑO; CIIU;Descripción;Personas trabajadoras con cobertura (promedio);Total de casos notificados;Casos con días de baja y secuelas incapacitantes;Personas trabajadoras fallecidas;Índice de incidencia [1];Índice de incidencia de casos mortales [2];
2022;863;Servicios de prácticas de diagnóstico y tratamiento; servicios integrados de consulta. diagnóstico y tratamiento;4.609.858.333;1902;1377;0;29.871;0.000
2022;864;Servicios de emergencias y traslados;1.107.791.667;693;585;2;52.808;180.539;
2022;869;Servicios relacionados con la salud humana n.c.p.;1.447.994.167;10200;6973;1;48.156;6.906;
2022;870;Servicios sociales con alojamiento;2.343.633.333;2491;2349;1;100.229;42.669;
2022;880;Servicios sociales sin alojamiento;3666.5;163;148;0;40.365;0.000;
2022;900;Servicios artísticos y de espectáculos;8574.25;340;326;0;38.021;0.000;
2022;910;Servicios de bibliotecas. archivos y museos y servicios culturales n.c.p.;9531.25;479;445;1;46.689;104.918;
2022;920;Servicios relacionados con juegos de azar y apuestas;3.002.933.333;1503;1442;1;48.020;33.301;
2022;931;Servicios para la práctica deportiva;3.575.091.667;2107;1992;2;55.719;55.943;
2022;939;Servicios de esparcimiento n.c.p.;1.021.983.333;598;582;0;56.948;0.000;
2022;941;Servicios de organizaciones empresariales. profesionales y de empleadores;2.868.658.333;1060;998;1;34.790;34.860;
2022;942;Servicios de sindicatos;2.471.491.667;852;816;1;33.016;40.461;
2022;949;Servicios de asociaciones n.c.p.;1.572.033.333;7184;6684;3;42.518;19.084;
2022;951;Reparación y mantenimiento de equipos informáticos y equipos de comunicación;2.242.833.333;60;57;1;25.414;445.865;
2022;952;Reparación de efectos personales y enseres domésticos;1304.75;67;66;0;50.584;0.000;
2022;960;Servicios personales n.c.p.;2.850.883.333;1923;1721;2;60.367;70.154;
2022;990;Servicios de organizaciones y órganos extraterritoriales;1.232.383.333;522;476;1;38.624;81.144;
2022;;Sin datos;0;681;405;1;-;-;
2021;11;Cultivos temporales;94.434;6.678;6.437;20;68.200;211.800;
2021;12;Cultivos perennes;74.866;5.409;5.245;3;70.100;40.100;
2021;13;Producción de semillas y de otras formas de propagación de cultivos agrícolas;7.409;211;195;1;26.300;135.000;
2021;14;Cría de animales;101.355;10.363;10.017;24;98.800;236.800;
2021;16;Servicios de apoyo agrícolas y pecuarios;61.431;3.381;3.281;8;53.400;130.200;
2021;17;Caza. repoblación de animales de caza y servicios de apoyo;88;16;15;0;169.700;0.000;
